target_x,target_y,source_x,source_y
268502.442299999995157,4488532.083800000138581,268503.086200000019744,4488532.082399999722838
268513.576799999980722,4488374.996899999678135,268514.254699999990407,4488375.047100000083447
268539.623900000005960,4488285.776899999938905,268540.069699999992736,4488285.818500000052154
268690.713999999978114,4488351.981100000441074,268691.431600000010803,4488352.051300000399351
268580.005300000018906,4488276.007299999706447,268580.152200000011362,4488276.025100000202656
268694.922100000025239,4488353.450899999588728,268695.312099999981001,4488353.524799999780953
268539.225199999986216,4488409.398799999617040,268539.402899999986403,4488409.432599999941885
268527.928599999984726,4488315.497000000439584,268528.097499999974389,4488315.554800000041723
268645.367399999988265,4488615.546500000171363,268645.443800000008196,4488615.572800000198185
268579.799799999978859,4488262.465099999681115,268580.624599999981001,4488262.760800000280142
268579.225900000019465,4488261.061999999918044,268579.683699999994133,4488261.230000000447035
268572.834800000011455,4488271.385700000450015,268573.067700000014156,4488271.473299999721348
268579.062299999990501,4488253.342199999839067,268579.383099999977276,4488253.472699999809265
268938.081899999990128,4488390.564199999906123,268938.263199999986682,4488390.639000000432134
268561.880699999979697,4488263.922100000083447,268562.280299999983981,4488264.088200000114739
268562.613699999987148,4488354.687300000339746,268563.900800000003073,4488355.234400000423193
268560.298400000028778,4488241.912399999797344,268560.629499999980908,4488242.056099999696016
268686.218799999973271,4488328.390300000086427,268686.498699999996461,4488328.515399999916553
268529.812099999981001,4488395.853500000201166,268530.024299999990035,4488395.958999999798834
268956.720900000014808,4488405.169800000265241,268956.954299999983050,4488405.294999999925494
268508.917299999971874,4488540.085400000214577,268509.279900000023190,4488540.289499999955297
268537.367900000012014,4488315.138000000268221,268538.091799999994691,4488315.561599999666214
268571.843300000007730,4488270.725999999791384,268572.361399999994319,4488271.033200000412762
268701.395100000023376,4488547.005699999630451,268702.094800000020768,4488547.420500000007451
268515.836399999971036,4488429.353699999861419,268516.346100000024308,4488429.663499999791384
268565.559400000027381,4488267.115399999544024,268566.036299999977928,4488267.435100000351667
268686.126899999973830,4488336.369900000281632,268686.792699999990873,4488336.840099999681115
268526.657100000011269,4488252.872999999672174,268526.855400000000373,4488253.046400000341237
268534.724300000001676,4488260.926699999719858,268534.909400000004098,4488261.088700000196695
268511.042699999990873,4488435.615699999965727,268511.175400000007357,4488435.736200000159442
268545.411199999973178,4488353.807099999859929,268545.967400000023190,4488354.318500000052154
268559.179400000022724,4488383.936200000345707,268559.399299999990035,4488384.142599999904633
268521.996099999989383,4488287.453200000338256,268522.074499999987893,4488287.530299999751151
268662.543699999980163,4488356.183899999596179,268663.049500000022817,4488356.687300000339746
268507.854500000015832,4488197.789699999615550,268507.970299999986310,4488197.909799999557436
268641.500500000023749,4488322.683400000445545,268641.886899999983143,4488323.101499999873340
268556.641899999987800,4488264.718100000172853,268556.814499999978580,4488264.906899999827147
268708.998000000021420,4488341.194899999536574,268709.189899999997579,4488341.405299999751151
268625.408999999985099,4488637.564699999988079,268625.580299999972340,4488637.753600000403821
268586.831400000024587,4488268.330099999904633,268587.096399999980349,4488268.630900000222027
268538.005799999984447,4488294.280799999833107,268538.204800000006799,4488294.509600000455976
268615.279399999999441,4488646.285099999979138,268615.328800000017509,4488646.344600000418723
268757.601299999980256,4488525.541000000201166,268758.267799999972340,4488526.350300000049174
268918.215800000005402,4488386.354000000283122,268918.483999999996740,4488386.686499999836087
268574.972400000027847,4488249.699799999594688,268575.259000000020023,4488250.055100000463426
268692.081699999980628,4488338.859699999913573,268692.557700000004843,4488339.484000000171363
268547.751999999978580,4488247.107200000435114,268547.978000000002794,4488247.428500000387430
268537.767400000011548,4488399.078499999828637,268537.963800000026822,4488399.367100000381470
268695.106099999975413,4488363.058899999596179,268695.291900000011083,4488363.336500000208616
268553.819000000017695,4488304.134800000116229,268553.978200000012293,4488304.373599999584258
268695.673300000024028,4488319.737200000323355,268696.154500000004191,4488320.474200000055134
268694.181500000006054,4488365.997299999929965,268694.387600000016391,4488366.313799999654293
268598.180099999997765,4488573.988599999807775,268598.326899999985471,4488574.214499999769032
268929.766100000008009,4488301.354399999603629,268930.448499999998603,4488302.431499999947846
268624.579499999992549,4488641.413599999621511,268624.727499999979045,4488641.658099999651313
268672.761100000003353,4488263.030199999921024,268672.987800000002608,4488263.422399999573827
268539.828399999998510,4488374.319199999794364,268539.989899999985937,4488374.600700000301003
268502.804200000013225,4488247.840400000102818,268503.056400000001304,4488248.309399999678135
268550.737000000022817,4488391.863900000229478,268550.854400000011083,4488392.090099999681115
268636.730400000000373,4488340.936900000087917,268637.021799999987707,4488341.514999999664724
268525.217699999979232,4488285.633299999870360,268525.540700000012293,4488286.289800000376999
268880.419099999999162,4488622.236299999989569,268880.812099999981001,4488623.052799999713898
268521.930600000021514,4488299.953499999828637,268522.158300000010058,4488300.450299999676645
268675.855800000019372,4488360.333200000226498,268675.952800000028219,4488360.552899999544024
268522.477100000018254,4488226.028099999763072,268522.673899999994319,4488226.507500000298023
268543.616600000008475,4488284.319500000216067,268543.813499999989290,4488284.803299999795854
268833.704399999987800,4488343.970900000073016,268833.893999999971129,4488344.440100000239909
268649.243900000001304,4488375.646399999968708,268649.459800000011455,4488376.182599999941885
268881.609300000010990,4488546.195899999700487,268882.096399999980349,4488547.462600000202656
268520.985999999975320,4488250.879200000315905,268521.205699999991339,4488251.456299999728799
268509.051700000010896,4488241.827499999664724,268509.106099999975413,4488241.970499999821186
268922.945300000021234,4488312.288800000213087,268923.393299999996088,4488313.500599999912083
268516.725500000000466,4488244.079900000244379,268516.814699999988079,4488244.347000000067055
268660.270100000023376,4488364.257899999618530,268660.488699999987148,4488364.936200000345707
268545.971200000029057,4488254.896499999798834,268546.086699999985285,4488255.256000000052154
268557.088600000017323,4488266.764600000344217,268557.333299999998417,4488267.558799999766052
268545.403500000014901,4488380.692099999636412,268545.593999999982771,4488381.312300000339746
268529.746299999998882,4488381.574300000444055,268529.794300000008661,4488381.734299999661744
268556.193399999989197,4488243.557000000029802,268556.291599999996834,4488243.885300000198185
268704.231099999975413,4488340.011199999600649,268704.402999999991152,4488340.615000000223517
268684.290700000012293,4488366.139000000432134,268684.377700000011828,4488366.463000000454485
268827.656699999992270,4488389.535000000149012,268828.059999999997672,4488391.145399999804795
268907.615899999975227,4488499.234799999743700,268907.771000000007916,4488499.862700000405312
268557.901399999973364,4488306.879599999636412,268557.949000000022352,4488307.076100000180304
268545.879699999990407,4488225.132299999706447,268545.979500000015832,4488225.558000000193715
269061.305400000012014,4488253.423899999819696,269061.568800000008196,4488254.566899999976158
268951.069399999978486,4488325.134200000204146,268951.175199999997858,4488325.601099999621511
268565.465199999976903,4488270.657499999739230,268565.635400000028312,4488271.412999999709427
268915.356700000003912,4488390.699000000022352,268915.500999999989290,4488391.346300000324845
268625.300800000026356,4488634.528599999845028,268625.374799999990501,4488634.893099999986589
268586.897999999986496,4488311.093600000254810,268587.056500000006054,4488311.890899999998510
268580.037799999990966,4488240.171299999579787,268580.179899999988265,4488240.887600000016391
268688.489899999985937,4488371.614099999889731,268688.545099999988452,4488371.909199999645352
268648.600299999990966,4488379.889700000174344,268648.724700000020675,4488380.560600000433624
268736.948499999998603,4488306.875300000421703,268737.075699999986682,4488307.564299999736249
268572.951899999985471,4488309.595700000412762,268573.020799999998417,4488309.987599999643862
268947.950399999972433,4488293.426900000311434,268948.213300000003073,4488294.985899999737740
268710.267500000016298,4488346.839399999938905,268710.349899999971967,4488347.340900000184774
268575.256500000017695,4488359.573200000450015,268575.317199999990407,4488359.946000000461936
268625.200699999986682,4488645.536700000055134,268625.271300000022165,4488645.970900000073016
268816.174300000013318,4488304.613499999977648,268816.204800000006799,4488304.801599999889731
268590.936400000005960,4488306.320299999788404,268591.023899999971036,4488306.869900000281632
268569.005500000028405,4488378.164200000464916,268569.047800000000279,4488378.443900000303984
268629.361299999989569,4488312.324000000022352,268629.445499999972526,4488312.909199999645352
268796.765200000023469,4488297.247999999672174,268796.821699999971315,4488297.657499999739230
268544.070100000011735,4488406.631500000134110,268544.103799999982584,4488406.885400000028312
268933.783899999980349,4488323.286299999803305,268933.896300000022165,4488324.166000000201166
268696.961300000024494,4488355.818300000391901,268697.014499999990221,4488356.258200000040233
268562.195100000011735,4488309.707499999552965,268562.241700000013225,4488310.099600000306964
268647.529600000008941,4488620.164699999615550,268647.562800000014249,4488620.478900000452995
268530.009199999971315,4488278.320299999788404,268530.094299999997020,4488279.131799999624491
268548.040199999988545,4488414.552699999883771,268548.068900000012945,4488414.837199999950826
268535.070699999982025,4488292.451200000010431,268535.098999999987427,4488292.762199999764562
268568.053100000019185,4488233.205599999986589,268568.110800000024028,4488233.872700000181794
268594.807900000014342,4488328.864199999719858,268594.913999999989755,4488330.151600000448525
268702.890599999984261,4488344.789099999703467,268702.940799999982119,4488345.407800000160933
268613.534900000027847,4488303.992999999783933,268613.575899999996182,4488304.499499999918044
268923.666700000001583,4488295.980100000277162,268923.715399999986403,4488296.584400000050664
268939.219500000006519,4488368.425300000235438,268939.273999999975786,4488369.114799999631941
268913.199900000006892,4488380.373700000345707,268913.264299999980722,4488381.192300000227988
268885.037200000020675,4488320.845800000242889,268885.095299999986310,4488321.629300000146031
268707.651200000022072,4488355.359600000083447,268707.668999999994412,4488355.603500000201166
268621.302099999971688,4488309.183000000193715,268621.343500000017229,4488309.806099999696016
268592.206999999994878,4488562.946899999864399,268592.255500000028405,4488563.679299999959767
268577.774099999980535,4488293.974899999797344,268577.813599999994040,4488294.602699999697506
268532.961899999994785,4488304.705400000326335,268532.987800000002608,4488305.154000000096858
268888.412399999971967,4488319.468600000254810,268888.464199999987613,4488320.370900000445545
269010.659500000008848,4488311.014800000004470,269010.734500000020489,4488312.332799999974668
268650.806500000006054,4488589.086600000038743,268650.812700000009499,4488589.209699999541044
268595.965099999972153,4488303.569099999964237,268595.989200000010896,4488304.053700000047684
268494.319000000017695,4488254.512400000356138,268494.327400000009220,4488254.697999999858439
268516.000699999975041,4488405.271800000220537,268516.012700000021141,4488405.541600000113249
268950.308699999994133,4488307.519500000402331,268950.344099999987520,4488308.448499999940395
268573.005400000023656,4488296.422100000083447,268573.019599999999627,4488296.896700000390410
269025.842799999983981,4488324.984199999831617,269025.884699999995064,4488326.409400000236928
268863.275199999974575,4488384.945299999788404,268863.282999999995809,4488385.493999999947846
268518.422699999995530,4488306.014399999752641,268518.425700000021607,4488306.240199999883771
268879.479999999981374,4488426.196000000461936,268879.490600000019185,4488427.013799999840558
268899.978599999973085,4488307.528500000014901,268899.987499999988358,4488308.308699999935925
268730.670600000012200,4488316.422000000253320,268730.677900000009686,4488317.182199999690056
268511.080499999981839,4488246.545699999667704,268511.083099999988917,4488246.872999999672174
268920.481000000028871,4488382.968100000172853,268920.483000000007451,4488383.473000000230968
268890.570499999972526,4488395.911700000055134,268890.572900000028312,4488396.692200000397861
268957.207799999974668,4488343.477400000207126,268957.207899999979418,4488344.795699999667704
268964.903700000024401,4488287.393199999816716,268964.896200000017416,4488288.351499999873340
268643.968899999978021,4488303.346599999815226,268643.961699999985285,4488304.216199999675155
268840.376400000008289,4488504.370000000111759,268840.363100000016857,4488505.166000000201166
268585.561400000005960,4488222.583399999886751,268585.548300000024028,4488223.274500000290573
268517.139299999980722,4488310.898199999704957,268517.131999999983236,4488311.187099999748170
268807.719999999972060,4488606.805900000035763,268807.693900000012945,4488607.824300000444055
268654.626099999994040,4488332.703700000420213,268654.607699999993201,4488333.246899999678135
268950.442299999995157,4488351.221300000324845,268950.394700000004377,4488352.491999999620020
268838.513299999991432,4488386.970900000073016,268838.454499999992549,4488388.501600000075996
268706.391699999978300,4488333.015599999576807,268706.365999999979977,4488333.652599999681115
268853.904099999985192,4488381.281700000166893,268853.872900000016671,4488382.041000000201166
268649.772600000025705,4488324.875500000081956,268649.751199999998789,4488325.366600000299513
268545.723500000021886,4488395.587500000372529,268545.701400000019930,4488396.067499999888241
268547.262199999997392,4488384.554800000041723,268547.249300000024959,4488384.830900000408292
268679.448700000008103,4488614.401600000448525,268679.428100000019185,4488614.832999999634922
268689.685400000016671,4488281.964499999769032,268689.666000000026543,4488282.309299999848008
268935.769499999994878,4488306.062599999830127,268935.719400000001770,4488306.810999999754131
268700.190000000002328,4488556.354199999943376,268700.098500000021886,4488557.677099999971688
268491.961599999980535,4488230.185100000351667,268491.920999999972992,4488230.741700000129640
268833.610099999990780,4488336.132299999706447,268833.502399999997579,4488337.605800000019372
268971.976299999980256,4488359.652800000272691,268971.919799999974202,4488360.419700000435114
268700.789199999999255,4488326.629700000397861,268700.735800000024028,4488327.351599999703467
269012.009499999985565,4488311.971400000154972,269011.930899999977555,4488313.033099999651313
268874.407699999981560,4488333.852099999785423,268874.336799999990035,4488334.729000000283122
268487.587100000004284,4488479.527800000272691,268487.531200000026729,4488480.209900000132620
268523.948099999979604,4488235.492999999783933,268523.900800000003073,4488236.040500000119209
268916.237000000022817,4488341.168300000019372,268916.143299999996088,4488342.232800000347197
268653.844600000011269,4488382.573099999688566,268653.821500000020023,4488382.834499999880791
268922.656399999978021,4488332.358099999837577,268922.549699999974109,4488333.554700000211596
268941.949199999973644,4488315.523099999874830,268941.842000000004191,4488316.711699999868870
269032.412899999995716,4488270.420699999667704,269032.345499999995809,4488271.155199999921024
268939.455000000016298,4488317.761300000362098,268939.357900000002701,4488318.817900000140071
268639.548200000019278,4488315.747000000439584,268639.491800000017975,4488316.356399999931455
268883.184799999988172,4488408.205500000156462,268883.119599999976344,4488408.835900000296533
268921.796099999977741,4488343.061200000345707,268921.693900000012945,4488344.023900000378489
268715.377600000007078,4488332.092799999751151,268715.306299999996554,4488332.733300000429153
268926.832999999984168,4488336.019299999810755,268926.718899999978021,4488337.013000000268221
268653.845499999995809,4488575.951899999752641,268653.801299999991897,4488576.329900000244379
269014.699000000022352,4488327.512199999764562,269014.587200000009034,4488328.437099999748170
268533.347699999983888,4488211.622299999929965,268533.254499999980908,4488212.366000000387430
268797.471699999994598,4488334.245699999853969,268797.396000000007916,4488334.821800000034273
268906.018099999986589,4488323.433799999766052,268905.901000000012573,4488324.277300000190735
268922.089099999982864,4488395.170699999667704,268921.996700000017881,4488395.832899999804795
268776.795900000026450,4488307.805800000205636,268776.758900000015274,4488308.064699999988079
268899.096799999999348,4488336.209800000302494,268898.922000000020489,4488337.431599999777973
268807.633600000001024,4488343.414599999785423,268807.482900000002701,4488344.447100000455976
268678.367399999988265,4488364.521999999880791,268678.287599999981467,4488365.060700000263751
268738.080499999981839,4488356.359000000171363,268737.956599999975879,4488357.181200000457466
268964.304799999983516,4488282.757600000128150,268964.100900000019465,4488284.017300000414252
268728.005100000009406,4488302.035500000230968,268727.912200000020675,4488302.602800000458956
268910.140599999984261,4488336.010099999606609,268910.012400000006892,4488336.770299999974668
268717.071400000015274,4488322.266599999740720,268716.965000000025611,4488322.881299999542534
268840.344099999987520,4488384.041699999943376,268840.212899999984074,4488384.792100000195205
269019.960499999986496,4488332.322100000455976,269019.808699999994133,4488333.184700000099838
268606.715499999991152,4488313.677000000141561,268606.587300000013784,4488314.393799999728799
268974.854700000025332,4488334.370600000023842,268974.670199999993201,4488335.383399999700487
268688.996099999989383,4488265.701399999670684,268688.962200000009034,4488265.880499999970198
268590.121999999973923,4488224.380300000309944,268589.989500000025146,4488225.080400000326335
268884.446699999971315,4488309.972599999979138,268884.277500000025611,4488310.841199999675155
268587.248599999991711,4488230.247399999760091,268587.119000000006054,4488230.885499999858439
268687.622299999988172,4488284.569000000134110,268687.508099999977276,4488285.130699999630451
268881.550099999993108,4488311.189799999818206,268881.395900000003166,4488311.940299999900162
268937.376199999998789,4488409.441899999976158,268937.333099999988917,4488409.643099999986589
268891.135200000018813,4488537.017500000074506,268890.941400000010617,4488537.921900000423193
269038.502199999988079,4488263.466699999757111,269038.323099999979604,4488264.278400000184774
268921.266300000017509,4488423.526499999687076,268921.192800000018906,4488423.859100000001490
268901.926800000015646,4488426.003499999642372,268901.814899999997579,4488426.496899999678135
268610.507800000021234,4488561.336500000208616,268610.361499999999069,4488561.978699999861419
268932.135899999993853,4488380.013899999670684,268931.987699999997858,4488380.660400000400841
268878.143900000024587,4488332.007000000216067,268877.917799999995623,4488332.966500000096858
268878.367000000027474,4488554.736399999819696,268878.120500000019092,4488555.771700000390410
268794.960699999995995,4488343.683899999596179,268794.713300000003073,4488344.719800000078976
268546.809799999988172,4488378.138100000098348,268546.738899999996647,4488378.434700000099838
268940.947199999995064,4488409.934299999848008,268940.761899999983143,4488410.697399999946356
269020.472300000023097,4488320.488900000229478,269020.229799999971874,4488321.460599999874830
268893.222999999998137,4488306.408999999985099,268892.962699999974575,4488307.449400000274181
268946.380100000009406,4488334.570600000210106,268946.143099999986589,4488335.516099999658763
268940.006999999983236,4488341.431099999696016,268939.824399999983143,4488342.154600000008941
268688.091100000019651,4488316.155000000260770,268687.956599999975879,4488316.687599999830127
268691.409500000008848,4488601.046199999749660,268691.404800000018440,4488601.065000000409782
268983.244400000025053,4488358.861200000159442,268983.019700000004377,4488359.746399999596179
268553.368599999987055,4488303.170599999837577,268553.268099999986589,4488303.563699999824166
268540.809200000017881,4488231.197100000455976,268540.709700000006706,4488231.585599999874830
268927.783799999975599,4488347.478600000031292,268927.600199999986216,4488348.182699999772012
268831.649600000004284,4488575.501199999824166,268831.435100000002421,4488576.323699999600649
268815.806800000020303,4488316.290199999697506,268815.621500000008382,4488316.999699999578297
268778.126500000013039,4488311.356900000013411,268778.031900000001770,4488311.716500000096858
268562.278200000000652,4488248.727699999697506,268562.124300000024959,4488249.309999999590218
268827.877900000021327,4488304.253100000321865,268827.719500000006519,4488304.850800000131130
268919.703299999993760,4488444.701500000432134,268919.493900000001304,4488445.476099999621511
268660.868299999972805,4488568.344499999657273,268660.780000000027940,4488568.665300000458956
268901.165500000002794,4488505.756299999542534,268900.931600000010803,4488506.601400000043213
268901.860300000000279,4488383.862700000405312,268901.731399999989662,4488384.326700000092387
268759.591399999975692,4488397.250599999912083,268759.446200000005774,4488397.771599999628961
268917.479200000001583,4488327.661199999973178,268917.218300000007730,4488328.574599999934435
268680.586000000010245,4488618.808699999935925,268680.440899999986868,4488619.316700000315905
268968.871600000013132,4488341.191499999724329,268968.631200000003446,4488342.031299999915063
268806.657699999981560,4488610.491100000217557,268806.443900000012945,4488611.228600000031292
268493.378299999982119,4488210.695299999788404,268493.246400000003632,4488211.143299999646842
268711.021000000007916,4488328.088000000454485,268710.849500000011176,4488328.661999999545515
269003.458900000026915,4488296.375000000000000,269003.147100000001956,4488297.418899999931455
268632.485800000024028,4488349.334599999710917,268632.348500000021886,4488349.793300000019372
268935.514499999990221,4488395.027400000020862,268935.274299999990035,4488395.828900000080466
268867.597799999988638,4488527.287399999797344,268867.493499999982305,4488527.632199999876320
268843.470900000014808,4488388.945199999958277,268843.315300000016578,4488389.455000000074506
268665.417100000020582,4488633.673200000077486,268665.233699999982491,4488634.266400000080466
268901.567199999990407,4488386.150000000372529,268901.344600000011269,4488386.866499999538064
268799.000799999979790,4488322.874099999666214,268798.789600000018254,4488323.548799999989569
268906.386699999973644,4488451.001799999736249,268906.168500000028871,4488451.685899999924004
268582.245500000019092,4488303.770399999804795,268582.046900000015739,4488304.390800000168383
268657.692399999999907,4488396.829400000162423,268657.470299999986310,4488397.511400000192225
269025.230700000014622,4488290.696100000292063,269025.024700000009034,4488291.324799999594688
269035.693900000012945,4488237.436599999666214,269035.318700000003446,4488238.581299999728799
268997.613799999991897,4488291.482699999585748,268997.269800000009127,4488292.507699999958277
268530.382400000002235,4488232.129800000227988,268530.276599999982864,4488232.442900000140071
268646.762800000025891,4488578.948900000192225,268646.700200000021141,4488579.127799999900162
268887.771300000022165,4488419.048700000159442,268887.357299999974202,4488420.222699999809265
268867.115500000014435,4488325.534199999645352,268866.769599999999627,4488326.513600000180304
268643.234999999986030,4488416.143899999558926,268643.000500000023749,4488416.804399999789894
268866.965099999972153,4488393.622800000011921,268866.680999999982305,4488394.416000000201166
268977.735400000005029,4488353.697100000455976,268977.450599999981932,4488354.491100000217557
268885.743399999977555,4488532.150399999693036,268885.548699999984819,4488532.692300000227988
268696.149900000018533,4488342.269600000232458,268696.032599999976810,4488342.595399999991059
268781.920700000016950,4488568.008200000040233,268781.673300000024028,4488568.680700000375509
268898.040500000002794,4488506.520999999716878,268897.812900000018999,4488507.137099999934435
268911.757900000025984,4488329.931599999777973,268911.357699999993201,4488331.010400000028312
